date,open,high,low,close,volume,adjusted_close,change_percent,avg_vol_20d,prev_day_open,prev_day_high,prev_day_low,prev_day_close,prev_day_volume,prev_day_change_percent,prev_week_open,prev_week_high,prev_week_low,prev_week_close,prev_week_volume,prev_week_change_percent,prev_month_open,prev_month_high,prev_month_low,prev_month_close,prev_month_volume,prev_month_change_percent,prev_week_trend_percentage,prev_month_trend_percentage,next_day_target
1993-03-03,45.0,45.1563,44.9375,45.125,280100,25.437,0.42,263240.0,44.3125,44.9375,44.25,44.9375,182400.0,1.48,43.7188,44.25,43.7188,44.25,26300.0,1.29,43.9688,44.25,43.9688,44.25,480500.0,0.71,1.977401129943503,1.977401129943503,44.875
1993-03-04,45.1875,45.1875,44.875,44.875,89500,25.2961,-0.55,241245.0,45.0,45.1563,44.9375,45.125,280100.0,0.42,44.2188,44.375,44.125,44.3438,44500.0,0.21,44.2188,44.375,44.125,44.3438,201300.0,0.21,1.1979126732485676,1.1979126732485676,44.75
1993-03-05,44.9375,45.125,44.7188,44.75,40000,25.2257,-0.28,216670.0,45.1875,45.1875,44.875,44.875,89500.0,-0.55,44.4375,44.4375,44.1875,44.4063,66200.0,0.14,44.4063,44.8438,44.375,44.8125,529400.0,1.06,0.7739892762963776,-0.1394700139470014,45.75
1993-03-08,44.8438,45.75,44.8438,45.75,50800,25.7894,2.23,194605.0,44.9375,45.125,44.7188,44.75,40000.0,-0.28,44.5625,44.5625,44.2188,44.2813,66500.0,-0.28,44.9688,45.0938,44.875,45.0,531500.0,0.42,3.316749959915356,1.6666666666666667,45.5938
1993-03-09,45.6563,45.6875,45.5,45.5938,169300,25.7013,-0.34,173265.0,44.8438,45.75,44.8438,45.75,50800.0,2.23,44.3125,44.9375,44.25,44.9375,182400.0,1.48,44.9688,45.0625,44.7188,44.9688,492100.0,-0.07,1.460472878998613,1.389852519969401,45.6875
1993-03-10,45.5938,45.6875,45.4063,45.6875,194400,25.7541,0.21,176880.0,45.6563,45.6875,45.5,45.5938,169300.0,-0.34,45.0,45.1563,44.9375,45.125,280100.0,0.42,44.9688,45.125,44.9063,44.9688,596100.0,0.0,1.2465373961218837,1.59821920976321,45.5625
1993-03-11,45.7188,45.8438,45.5,45.5625,70900,25.6837,-0.27,161445.0,45.5938,45.6875,45.4063,45.6875,194400.0,0.21,45.1875,45.1875,44.875,44.875,89500.0,-0.55,44.8125,44.8125,44.5625,44.6563,122100.0,-0.7,1.532033426183844,2.0292769441265808,45.0938
1993-03-12,45.1875,45.2188,44.8125,45.0938,643600,25.4194,-1.03,192650.0,45.7188,45.8438,45.5,45.5625,70900.0,-0.27,44.9375,45.125,44.7188,44.75,40000.0,-0.28,44.6563,44.75,44.5313,44.7188,379600.0,0.14,0.7682681564245847,0.838573485871714,45.3125
1993-03-15,45.0625,45.3125,45.0625,45.3125,310800,25.5427,0.49,206065.0,45.1875,45.2188,44.8125,45.0938,643600.0,-1.03,44.8438,45.75,44.8438,45.75,50800.0,2.23,44.7813,45.125,44.7813,44.9375,19500.0,0.49,-0.9562841530054645,0.8344923504867872,45.3125
1993-03-16,45.3125,45.4375,45.3125,45.3125,30800,25.5427,0.0,188865.0,45.0625,45.3125,45.0625,45.3125,310800.0,0.49,45.6563,45.6875,45.5,45.5938,169300.0,-0.34,44.875,44.875,44.5938,44.5938,42500.0,-0.77,-0.6169698511639777,1.611659019863744,45.0313
1993-03-17,45.25,45.25,44.9688,45.0313,21800,25.3842,-0.62,179410.0,45.3125,45.4375,45.3125,45.3125,30800.0,0.0,45.5938,45.6875,45.4063,45.6875,194400.0,0.21,44.4688,44.4688,43.4063,43.4688,374800.0,-2.52,-1.4362790697674381,3.5945321702002353,45.3125
1993-03-18,45.2188,45.5,45.2188,45.3125,59300,25.5427,0.62,163470.0,45.25,45.25,44.9688,45.0313,21800.0,-0.62,45.7188,45.8438,45.5,45.5625,70900.0,-0.27,43.4688,43.5313,43.2813,43.4375,210900.0,-0.07,-0.5486968449931412,4.316546762589928,45.0313
1993-03-19,45.2813,45.2813,45.0313,45.0313,66900,25.5041,-0.15,165070.0,45.2188,45.5,45.2188,45.3125,59300.0,0.62,45.1875,45.2188,44.8125,45.0938,643600.0,-1.03,43.9375,43.9375,42.8125,43.4063,378100.0,-0.07,-0.13859998492032163,3.7436961915666616,44.7813
1993-03-22,44.5938,44.875,44.5625,44.7813,183400,25.3625,-0.56,148560.0,45.2813,45.2813,45.0313,45.0313,66900.0,-0.15,45.0625,45.3125,45.0625,45.3125,310800.0,0.49,43.4063,43.5625,43.3438,43.5625,34900.0,0.36,-1.1723034482758583,2.79781922525108,44.875
1993-03-23,44.9063,44.9375,44.8125,44.875,55200,25.4156,0.21,132635.0,44.5938,44.875,44.5625,44.7813,183400.0,-0.56,45.3125,45.4375,45.3125,45.3125,30800.0,0.0,43.6875,43.7813,43.5625,43.7188,513600.0,0.36,-0.9655172413793104,2.6446288553208195,44.875
1993-03-24,44.8125,45.0625,44.5938,44.875,37200,25.4156,0.0,133180.0,44.9063,44.9375,44.8125,44.875,55200.0,0.21,45.25,45.25,44.9688,45.0313,21800.0,-0.62,43.8438,43.875,43.4688,43.6875,373700.0,-0.07,-0.34709191162591724,2.7181688125894135,45.1563
1993-03-25,44.9063,45.25,44.8438,45.1563,110100,25.5749,0.63,136460.0,44.8125,45.0625,44.5938,44.875,37200.0,0.0,45.2188,45.5,45.2188,45.3125,59300.0,0.62,43.7188,44.25,43.7188,44.25,26300.0,1.29,-0.34471724137930665,2.048135593220343,44.9063
1993-03-26,45.125,45.1563,44.875,44.9063,101500,25.4333,-0.55,138225.0,44.9063,45.25,44.8438,45.1563,110100.0,0.63,45.2813,45.2813,45.0313,45.0313,66900.0,-0.15,44.2188,44.375,44.125,44.3438,44500.0,0.21,-0.2775847021960281,1.268497512617322,45.0938
1993-03-29,44.9375,45.3125,44.9375,45.0938,87100,25.5395,0.42,139255.0,45.125,45.1563,44.875,44.9063,101500.0,-0.55,44.5938,44.875,44.5625,44.7813,183400.0,-0.56,44.4375,44.4375,44.1875,44.4063,66200.0,0.14,0.6978359270499069,1.5482037458648885,45.2188
1993-03-30,45.1563,45.2188,45.0938,45.2188,56000,25.6103,0.28,132935.0,44.9375,45.3125,44.9375,45.0938,87100.0,0.42,44.9063,44.9375,44.8125,44.875,55200.0,0.21,44.5625,44.5625,44.2188,44.2813,66500.0,-0.28,0.7661281337047391,2.117146515572036,45.1875
1993-03-31,45.3438,45.4688,45.1875,45.1875,111600,25.5926,-0.07,124510.0,45.1563,45.2188,45.0938,45.2188,56000.0,0.28,44.8125,45.0625,44.5938,44.875,37200.0,0.0,44.3125,44.9375,44.25,44.9375,182400.0,1.48,0.6963788300835655,0.5563282336578581,45.0313
1993-04-01,45.25,45.25,44.9375,45.0313,129500,25.5041,-0.35,126510.0,45.3438,45.4688,45.1875,45.1875,111600.0,-0.07,44.9063,45.25,44.8438,45.1563,110100.0,0.63,45.0,45.1563,44.9375,45.125,280100.0,0.42,-0.2768163024871391,-0.2076454293628772,44.0938
1993-04-02,44.6563,44.6563,44.0938,44.0938,59400,24.9731,-2.08,127480.0,45.25,45.25,44.9375,45.0313,129500.0,-0.35,45.125,45.1563,44.875,44.9063,101500.0,-0.55,45.1875,45.1875,44.875,44.875,89500.0,-0.55,-1.8093229680467997,-1.7408356545960968,44.3125
1993-04-05,44.4375,44.4375,44.1875,44.3125,172200,25.097,0.5,133550.0,44.6563,44.6563,44.0938,44.0938,59400.0,-2.08,44.9375,45.3125,44.9375,45.0938,87100.0,0.42,44.9375,45.125,44.7188,44.75,40000.0,-0.28,-1.7326106914919603,-0.9776536312849162,44.1875
1993-04-06,44.4063,44.4063,44.0625,44.1875,129700,25.0262,-0.28,131570.0,44.4375,44.4375,44.1875,44.3125,172200.0,0.5,45.1563,45.2188,45.0938,45.2188,56000.0,0.28,44.8438,45.75,44.8438,45.75,50800.0,2.23,-2.2806885631639973,-3.415300546448088,44.3438
1993-04-07,44.25,44.3438,44.1563,44.3438,28000,25.1147,0.35,123250.0,44.4063,44.4063,44.0625,44.1875,129700.0,-0.28,45.3438,45.4688,45.1875,45.1875,111600.0,-0.07,45.6563,45.6875,45.5,45.5938,169300.0,-0.34,-1.867109266943288,-2.741600831692028,44.2813
1993-04-08,44.5313,44.5313,44.0938,44.2813,180800,25.0793,-0.14,128745.0,44.25,44.3438,44.1563,44.3438,28000.0,0.35,45.25,45.25,44.9375,45.0313,129500.0,-0.35,45.5938,45.6875,45.4063,45.6875,194400.0,0.21,-1.6655082131761687,-3.0778659370725,44.9063
1993-04-12,44.7188,44.9375,44.6563,44.9063,348500,25.4333,1.41,113990.0,44.5313,44.5313,44.0938,44.2813,180800.0,-0.14,44.6563,44.6563,44.0938,44.0938,59400.0,-2.08,45.7188,45.8438,45.5,45.5625,70900.0,-0.27,1.8426626872712262,-1.4402194787379936,45.0
1993-04-13,44.875,45.1563,44.8438,45.0,146100,25.4864,0.21,105755.0,44.7188,44.9375,44.6563,44.9063,348500.0,1.41,44.4375,44.4375,44.1875,44.3125,172200.0,0.5,45.1875,45.2188,44.8125,45.0938,643600.0,-1.03,1.5514809590973202,-0.2080108573684224,44.9375
1993-04-14,45.0313,45.0625,44.9063,44.9375,119600,25.451,-0.14,110195.0,44.875,45.1563,44.8438,45.0,146100.0,0.21,44.4063,44.4063,44.0625,44.1875,129700.0,-0.28,45.0625,45.3125,45.0625,45.3125,310800.0,0.49,1.6973125884016973,-0.8275862068965517,44.9375
